case,expectancy,age,transition,s,delta,cc
1,h,96,HU,0.003653332896633415,0.1586147101754294,5.794723385738711e-4
1,h,97,HU,0.0021447952793574765,0.17367013916550803,3.724868946475376e-4
1,h,98,HU,0.0012190333409788268,0.18875015522994062,2.300927323402267e-4
1,h,99,HU,6.70421431432904e-4,0.2035450623390848,1.364609720544689e-4
1,h,100,HU,3.567622132173754e-4,0.21769741035991722,7.766620993169525e-5
1,h,101,HU,1.8380207391467676e-4,0.23080924745998693,4.2423218361831435e-5
1,h,102,HU,9.177330995483834e-5,0.24245418298398486,2.2250822884836333e-5
1,h,103,HU,4.446385537695697e-5,0.2521946077109106,1.1213544564106329e-5
1,h,104,HU,2.0917664247027624e-5,0.25960389228441066,5.430307056026828e-6
1,h,105,HU,9.541948354691029e-6,0.264292670047147,2.5218670081132734e-6
1,h,106,HU,4.193137837634309e-6,0.26593746363155973,1.115112441197991e-6
1,h,107,HU,1.7414526803808167e-6,0.2643090527192395,4.6028170830683424e-7
1,h,108,HU,6.474976108550992e-7,0.259297281412563,1.6789437021585684e-7
1,h,109,HU,1.7806856393429723e-7,0.2509286847044793,4.468251053524869e-8
1,h,110,HU,0,0.23937358241132384,0
1,h,50,UH,0.2099616628257536,-0.022470482755785504,-0.004717939923902147
1,h,51,UH,0.20182779316176636,-0.02160691990325092,-0.00436087696109618
1,h,52,UH,0.20367050912066997,-0.020755565796054642,-0.004227296652770013
1,h,53,UH,0.21130823974028454,-0.019917807667153176,-0.004208796877631681
1,h,54,UH,0.22247322823556143,-0.019094919984545267,-0.0042481084918615224
1,h,55,UH,0.23591133578199006,-0.018288070135689505,-0.004314363054585231
1,h,56,UH,0.250909294734194,-0.017498324573812396,-0.004390492277845284
1,h,57,UH,0.26704288367993284,-0.016726655369043275,-0.004466734284069748
1,h,58,UH,0.28404080219445577,-0.015973947111404097,-0.004537252751735029
1,h,59,UH,0.30170992788280576,-0.015241004116412465,-0.004598362252824351
1,h,60,UH,0.31989356555343296,-0.014528557887205473,-0.0046475921848876094
1,h,61,UH,0.3384476786153761,-0.01383727478958352,-0.004683193530897609
1,h,62,UH,0.35722708727239805,-0.013167763897962176,-0.004703881943159667
1,h,63,UH,0.3760773211894439,-0.0125205849707698,-0.004708708055531918
1,h,64,UH,0.39482980002679036,-0.011896256513113934,-0.004696996580140177
1,h,65,UH,0.4132990940358182,-0.011295263882302009,-0.00466832232945092
1,h,66,UH,0.43128161095014955,-0.010718067387802621,-0.004622505369283776
1,h,67,UH,0.4485553869328479,-0.010165110331135513,-0.00455961499779758
1,h,68,UH,0.4648808464055255,-0.0096368269226568,-0.004479976256468249
1,h,69,UH,0.4800025012526549,-0.009133650000835714,-0.004384174845967456
1,h,70,UH,0.493651617822847,-0.008656018465011461,-0.004273057519157345
1,h,71,UH,0.5055499080380835,-0.008204384314242058,-0.004147725735574167
1,h,72,UH,0.5154143076643469,-0.0077792191622483575,-0.004009520858679458
1,h,73,UH,0.5229628943419153,-0.007381020071069333,-0.0038599996195621883
1,h,74,UH,0.5279219714741109,-0.007010314513372418,-0.003700899058553139
1,h,75,UH,0.5300343011555778,-0.006667664234946302,-0.003534090753109804
1,h,76,UH,0.529068408932338,-0.0063536677443995215,-0.0033615248844141715
1,h,77,UH,0.5248288042835799,-0.006068961106356852,-0.0031851656006928186
1,h,78,UH,0.5171668629522364,-0.005814216657657634,-0.003006920189365435
1,h,79,UH,0.5059920017448603,-0.005590139203896616,-0.0028285657258120683
1,h,80,UH,0.4912826466438316,-0.005397459187470838,-0.002651678034772738
1,h,81,UH,0.4730963578518848,-0.005236922250467346,-0.0024775688430495975
1,h,82,UH,0.4515783419128748,-0.005109274549918913,-0.0023072377296300324
1,h,83,UH,0.4269674677319286,-0.005015243124625632,-0.0021413456569813714
1,h,84,UH,0.39959883215933184,-0.004955510569571497,-0.0019802162363539958
1,h,85,UH,0.3699019188987671,-0.004930683256446244,-0.0018238691980414876
1,h,86,UH,0.3383934920930467,-0.004941252360801521,-0.0016720876416846378
1,h,87,UH,0.3056645924995433,-0.004987547035633436,-0.0015245165322191993
1,h,88,UH,0.27236138208797894,-0.005069679229661478,-0.0013807848417333205
1,h,89,UH,0.23916011882589455,-0.005187479912365345,-0.0012406383122482369
1,h,90,UH,0.20673721805364148,-0.00534042686654615,-0.0011040649936086765
1,h,91,UH,0.17573611515811427,-0.005527564774236493,-9.713927597091602e-4
1,h,92,UH,0.14673338955076218,-0.005747419083312791,-8.433382832632202e-4
1,h,93,UH,0.12020720638240039,-0.005997906123902323,-7.209915392981897e-4
1,h,94,UH,0.09651142052657394,-0.006276243155337563,-6.057291424918148e-4
1,h,95,UH,0.07585851560365311,-0.006578863451240639,-4.990628157702413e-4
1,h,96,UH,0.058313821249606476,-0.006901343119724845,-4.024436890658361e-4
1,h,97,UH,0.04380217068309439,-0.007238348001798976,-3.1705535463843397e-4
1,h,98,UH,0.03212647652621464,-0.007583610519063609,-2.4363468532465147e-4
1,h,99,UH,0.02299591064055216,-0.007929947495853788,-1.823563639989241e-4
1,h,100,UH,0.016059865871761416,-0.008269330421384814,-1.3280433741671643e-4
1,h,101,UH,0.010943041373218105,-0.008593018934874838,-9.403376172518193e-5
1,h,102,UH,0.007277079228816026,-0.00889176607279284,-6.470608619581183e-5
1,h,103,UH,0.004725192442734495,-0.009156099620370388,-4.326433273109834e-5
1,h,104,UH,0.0029978895602983534,-0.009376677527114137,-2.8110243668819653e-5
1,h,105,UH,0.001859748120072489,-0.009544706850407612,-1.7750750621688566e-5
1,h,106,UH,0.0011287172495043703,-0.00965240561135285,-1.0894836712746739e-5
1,h,107,UH,6.702872774450541e-4,-0.00969347638465877,-6.497413894850853e-6
1,h,108,UH,3.8892765233335027e-4,-0.009663551091518702,-3.7584222392277534e-6
1,h,109,UH,2.1838614265939728e-4,-0.00956056045279471,-2.0878939189478177e-6
1,h,110,UH,1.0956994516791643e-4,-0.00938498109698125,-1.0283118641981678e-6
1,h,50,UU,0.1542148141179709,0.09838074589513268,0.015171768441005214
1,h,51,UU,0.1457453198077422,0.0987862580811758,0.014397634776651125
1,h,52,UU,0.1444774063426024,0.099169236002976,0.014327714006687399
1,h,53,UU,0.14711786023280643,0.09952775938406688,0.01464231099434954
1,h,54,UU,0.15188391047650632,0.09985967490014991,0.015167077922747393
1,h,55,UU,0.15778474017021712,0.10016259872983924,0.015804129615361404
1,h,56,UU,0.1642487220258195,0.10043391964400994,0.01649614294957248
1,h,57,UU,0.17092771868747914,0.10067080260524652,0.017207430627752318
1,h,58,UU,0.1775932713385633,0.10087019285525789,0.017913867529717024
1,h,59,UU,0.1840811024837475,0.10102882047423034,0.018597496655528924
1,h,60,UU,0.19026136318667863,0.10114320540180044,0.01924364413681679
1,h,61,UU,0.19602279343766596,0.10120966291443945,0.019839400847372964
1,h,62,UU,0.20126452020221022,0.10122430955843109,0.020372862096077637
1,h,63,UU,0.2058921247371658,0.10118306954111111,0.02083279717524777
1,h,64,UU,0.20981614764612255,0.10108168158536857,0.021208569027834037
1,h,65,UU,0.21295202004245947,0.1009157062534124,0.02149020350067563
1,h,66,UU,0.21522084965823934,0.10068053374518637,0.021668550016684048
1,h,67,UU,0.2165507282216389,0.10037139217429536,0.021735498067963367
1,h,68,UU,0.21687835417445928,0.09998335631952249,0.02168422576341656
1,h,69,UU,0.21615083263645415,0.09951135684268608,0.021509462638329906
1,h,70,UU,0.21432754936107123,0.09895018995319271,0.021207751721480286
1,h,71,UU,0.21138203198799219,0.09829452748588419,0.02077769695326575
1,h,72,UU,0.20730371835948547,0.09753892734113545,0.02022018232261306
1,h,73,UU,0.20209955268826857,0.09667784421422132,0.019538549070560244
1,h,74,UU,0.19579532872386318,0.09570564051438901,0.018738717345242673
1,h,75,UU,0.18843669657260195,0.0946165973424532,0.01782923904415191
1,h,76,UU,0.18008974784199322,0.09340492535901768,0.016821269455105693
1,h,77,UU,0.17084109351264512,0.09206477533362167,0.015728446891991925
1,h,78,UU,0.16079735162909467,0.09059024811874528,0.014566671980916816
1,h,79,UU,0.15008396890652625,0.08897540374263568,0.013353781728755353
1,h,80,UU,0.13884331318091314,0.08721426926310838,0.012109118101142244
1,h,81,UU,0.127231993883914,0.08530084497361556,0.010852996585975752
1,h,82,UU,0.1154173969429392,0.08322910850706289,0.009606087053766636
1,h,83,UU,0.10357345991813427,0.08099301634804679,0.008388726932373218
1,h,84,UU,0.09187576331969169,0.07858650224833486,0.007220194880690432
1,h,85,UU,0.08049607422543174,0.07600347205448721,0.006117981127888529
1,h,86,UU,0.06959654607322203,0.073237794514182,0.005097097540207435
1,h,87,UU,0.05932384899613509,0.0702832877466657,0.0041694751492351075
1,h,88,UU,0.04980357067024894,0.06713370126373497,0.003343498035243805
1,h,89,UU,0.04113527790860628,0.06378269373511336,0.0026237188325534087
1,h,90,UU,0.03338865153971364,0.06022380713279807,0.0020107917107519157
1,h,91,UU,0.026601088242607974,0.05645043848992093,0.0015016430956043003
1,h,92,UU,0.020777091829276274,0.052455811294701005,0.0010898792082491902
1,h,93,UU,0.015889647493338856,0.04823294952434509,7.664045655058495e-4
1,h,94,UU,0.011883589918674695,0.04377465850586981,5.20200090513782e-4
1,h,95,UU,0.008680756771631671,0.03907351814225313,3.391877072048368e-4
1,h,96,UU,0.006186493471833361,0.03412189549447553,2.1109488372315303e-4
1,h,97,UU,0.004296884194380931,0.028911985139773222,1.242314519752679e-4
1,h,98,UU,0.002905971336748878,0.023435886942176576,6.810401570525244e-5
1,h,99,UU,0.0019122255237277144,0.01768573160434117,3.381910737961909e-5
1,h,100,UU,0.0012236530933747742,0.011653864274713821,1.4260287069523337e-5
1,h,101,UU,7.611598556697441e-4,0.0053330951602375,4.0593379424393865e-6
1,h,102,UU,4.6008053702167114e-4,-0.0012829768682949272,-5.902726865515119e-7
1,h,103,UU,2.700661158673051e-4,-0.008199566631600153,-2.2144251119914153e-6
1,h,104,UU,1.5373174390873585e-4,-0.015420236978398894,-2.3705799221752376e-6
1,h,105,UU,8.456531705473995e-5,-0.022946380133169297,-1.9404679112200478e-6
1,h,106,UU,4.457672537272367e-5,-0.030776671377284792,-1.3719232278717894e-6
1,h,107,UU,2.2060753740241766e-5,-0.038906530725696054,-8.583073932267304e-7
1,h,108,UU,9.702983999524365e-6,-0.047327636854249455,-4.5921930313208215e-7
1,h,109,UU,3.133136731281502e-6,-0.05602754221036976,-1.755419504627343e-7
1,h,110,UU,0,-0.06498943686381842,-0
1,u,50,HH,2.130514820948996,-0.0014766935920338398,-0.003146117583828506
1,u,51,HH,2.122223229953573,-0.001196467809835955,-0.0025391717799255376
1,u,52,HH,2.1122038707573507,-8.861482698333534e-4,-0.0018717258056069382
1,u,53,HH,2.1006130944886987,-5.440570935552058e-4,-0.0011428534548715283
1,u,54,HH,2.0874795593491204,-1.6854967336155102e-4,-3.518439978772087e-4
1,u,55,HH,2.0727590164627943,2.4195796752524146e-4,5.015205587929562e-4
1,u,56,HH,2.056363760999077,6.889564524635849e-4,0.0014167450817525991
1,u,57,HH,2.038178843605136,0.0011738041880462458,0.0023924228626109626
1,u,58,HH,2.018071334076076,0.00169768149583982,0.003426042361145734
1,u,59,HH,1.9958959649408161,0.0022615367855192137,0.004513792144783022
1,u,60,HH,1.971498948595214,0.0028660237243770537,0.0056503627592583
1,u,61,HH,1.9447209578067528,0.003511428267565786,0.006828748143770242
1,u,62,HH,1.9153998331215119,0.004197584327423121,0.008040052320259719
1,u,63,HH,1.8833733516605438,0.004923776783840039,0.009273309984209187
1,u,64,HH,1.8484822665053624,0.005688630477690304,0.010515332558712455
1,u,65,HH,1.8105737550248295,0.006489983795203269,0.011750594330131477
1,u,66,HH,1.7695053714991469,0.007324745454369785,0.012961176426371294
1,u,67,HH,1.7251495694457222,0.008188733160724548,0.014126789486529862
1,u,68,HH,1.677398833478507,0.009076492928373203,0.01522489865012913
1,u,69,HH,1.6261714338701563,0.009981098087761153,0.01623097658897323
1,u,70,HH,1.571417785448902,0.010893927354900579,0.01711891119887908
1,u,71,HH,1.5131273531911946,0.011804421855337144,0.017861593597918585
1,u,72,HH,1.4513359976242337,0.012699821725806193,0.01843170843407285
1,u,73,HH,1.3861335922752787,0.013564883912087655,0.018802741265859197
1,u,74,HH,1.3176716720167443,0.014381584107420409,0.018950205977074086
1,u,75,HH,1.246170785518333,0.015128807506348374,0.018853077934141805
1,u,76,HH,1.1719271290672513,0.015782035267491,0.01849539528186884
1,u,77,HH,1.0953179370483928,0.016313036375951828,0.017867961350302945
1,u,78,HH,1.0168050038146168,0.016689578065685717,0.016970046488743912
1,u,79,HH,0.9369356238559008,0.016875172193541843,0.015810949986831878
1,u,80,HH,0.8563401779371307,0.016828880024521764,0.014411246114681591
1,u,81,HH,0.7757255827301333,0.016505203834151994,0.012803508862327185
1,u,82,HH,0.6958638849510345,0.015854100545165672,0.011032295997763298
1,u,83,HH,0.6175754447619105,0.014821160187909244,0.009153184594935573
1,u,84,HH,0.5417064422441166,0.013348000068929555,0.007230697628414052
1,u,85,HH,0.4691008726920844,0.011372933719299372,0.005335053132792569
1,u,86,HH,0.40056777339212435,0.008831981279861956,0.003537807075915228
1,u,87,HH,0.3368451233332262,0.005660293926271209,0.0019066424056971365
1,u,88,HH,0.2785626199955115,0.0017940677711363318,4.997602187772443e-4
1,u,89,HH,0.2262062645260521,-0.002826979581434186,-6.394804910076495e-4
1,u,90,HH,0.18008823793329196,-0.008256506566128752,-0.001486899718978782
1,u,91,HH,0.14032575819001322,-0.014537776689813042,-0.002040024536395116
1,u,92,HH,0.10683230455017911,-0.021699211504847993,-0.002318176771984671
1,u,93,HH,0.07932366193829868,-0.029749313052117143,-0.002359824451442757
1,u,94,HH,0.05733966077599217,-0.03867107584153895,-0.0022173863705965092
1,u,95,HH,0.04028040909026781,-0.04841610656153261,-0.0019502205788565331
1,u,96,HH,0.02745355809495065,-0.05889879107092055,-0.001616981382387878
1,u,97,HH,0.01812718311599926,-0.06999098833315343,-0.00126873946198484
1,u,98,HH,0.011581719828063925,-0.08151787921443054,-9.441172380394903e-4
1,u,99,HH,0.007154478325088653,-0.0932557358630301,-6.671961409222414e-4
1,u,100,HH,0.004271684130452074,-0.10493247671112116,-4.482383955359281e-4
1,u,101,HH,0.002465490300194138,-0.11623189572876602,-2.865686114924491e-4
1,u,102,HH,0.0013763304986701456,-0.1268023586677698,-1.7452195353776225e-4
1,u,103,HH,7.435363399903273e-4,-0.13627050009695219,-1.0132206889073936e-4
1,u,104,HH,3.886530505568313e-4,-0.1442600010494157,-5.60670894811871e-5
1,u,105,HH,1.9607917566005033e-4,-0.15041487341510656,-2.9493224386244913e-5
1,u,106,HH,9.473117927200154e-5,-0.15442586427789007,-1.4628944233142583e-5
1,u,107,HH,4.293444705019785e-5,-0.15605772138982058,-6.70025197578578e-6
1,u,108,HH,1.727172643132978e-5,-0.15517429329923904,-2.6801279430393864e-6
1,u,109,HH,5.095311733279835e-6,-0.15175798446944977,-7.732542388860864e-7
1,u,110,HH,0,-0.14592016140626338,-0
1,u,50,HU,4.2146943472712275,-0.0023975583854075797,-0.010104975774230057
1,u,51,HU,4.209990551171436,-0.0025464802532163596,-0.01072065780478552
1,u,52,HU,4.200092384124625,-0.0026986491692760697,-0.011334575823300667
1,u,53,HU,4.185206787650531,-0.0028530082062204103,-0.011940429309896326
1,u,54,HU,4.165306305633961,-0.00300824018584606,-0.012530241814966073
1,u,55,HU,4.140237941659927,-0.0031627255065065,-0.01309443614109382
1,u,56,HU,4.1097832652994875,-0.0033144943080621993,-0.01362185324020443
1,u,57,HU,4.073692880309948,-0.0034611723457061505,-0.014099753142228827
1,u,58,HU,4.031707286486681,-0.0035999199002767993,-0.014513823292714379
1,u,59,HU,3.98357047983616,-0.003727363013389319,-0.014848213267770846
1,u,60,HU,3.929039678368016,-0.0038395163039031694,-0.015085611903776462
1,u,61,HU,3.867893003785573,-0.00393169660191048,-0.015207381779537057
1,u,62,HU,3.7999361201622155,-0.00399842663279331,-0.015193765785769883
1,u,63,HU,3.725008384324095,-0.0040333280036738695,-0.015024180630414328
1,u,64,HU,3.6429888195617877,-0.00402900279634681,-0.014677612141074606
1,u,65,HU,3.5538020894976596,-0.003976903165372071,-0.01413312677882912
1,u,66,HU,3.4574245712080782,-0.0038671884910216996,-0.013370512510351514
1,u,67,HU,3.353890577640439,-0.0036885698611159173,-0.012371059702165177
1,u,68,HU,3.24329874260557,-0.00342814197429462,-0.011118488554703118
1,u,69,HU,3.125818547203508,-0.0030712029953933184,-0.009600023285227405
1,u,70,HU,3.001696927978151,-0.0026010634820811014,-0.007807604263638995
1,u,71,HU,2.871264859934069,-0.0019988462775051598,-0.005739217077010588
1,u,72,HU,2.7349437486860904,-0.0012432802696569004,-0.0034003016013628962
1,u,73,HU,2.5932513935430013,-3.104922047004119e-4,-8.051843425235819e-4
1,u,74,HU,2.446807196706796,8.261976344240765e-4,0.0020215463178109606
1,u,75,HU,2.296336194237623,0.00219646804815795,0.005043829078471567
1,u,76,HU,2.1426713756432822,0.003833167510777502,0.008213218303388767
1,u,77,HU,1.9867536477484948,0.005772449374235655,0.011468434850706205
1,u,78,HU,1.829628695788235,0.008053854700854124,0.014735563672391677
1,u,79,HU,1.6724399162069332,0.010720321463940814,0.017929093530864564
1,u,80,HU,1.516416562536619,0.01381809390749257,0.020953986464008083
1,u,81,HU,1.3628562842838245,0.01739650025947663,0.02370892970317291
1,u,82,HU,1.213101379250694,0.021507560842000173,0.026090851721748628
1,u,83,HU,1.0685083534783713,0.026205382116289172,0.0280006696973477
1,u,84,HU,0.9304108172815145,0.03154528569194007,0.029350075042016824
1,u,85,HU,0.800076356064653,0.03758261537585082,0.030068961961290126
1,u,86,HU,0.6786587940671756,0.04437116076594512,0.030112878456777088
1,u,87,HU,0.5671481771178737,0.05196113388191173,0.02946966236210402
1,u,88,HU,0.4663217507983217,0.06039663745922784,0.028164265722318626
1,u,89,HU,0.3767000649254018,0.06971257187628377,0.026260730351912835
1,u,90,HU,0.2985129069204531,0.07993094479293653,0.02386041868303774
1,u,91,HU,0.2316798389485296,0.09105657644853726,0.021095972966801584
1,u,92,HU,0.17580948112159342,0.10307223746331712,0.018121076586467444
1,u,93,HU,0.13022021224484648,0.1159333180876436,0.015096861287622249
1,u,94,HU,0.09398266293913066,0.12956221063212825,0.01217660157148796
1,u,95,HU,0.06598147662898733,0.14384269114191064,0.00949095316383062
1,u,96,HU,0.044990771059377224,0.1586147101754294,0.007136198112152216
1,u,97,HU,0.029755194046471208,0.17367013916550803,0.00516758869094735
1,u,98,HU,0.0190671270647191,0.18875015522994062,0.0035989231932547325
1,u,99,HU,0.011830974311696626,0.2035450623390848,0.0024081364038064006
1,u,100,HU,0.007107708646333903,0.21769741035991722,0.0015473297658996834
1,u,101,HU,0.004136515303266212,0.23080924745998693,9.54745984253594e-4
1,u,102,HU,0.002334575832598262,0.24245418298398486,5.660276761067678e-4
1,u,103,HU,0.0012796461306641017,0.2521946077109106,3.227198539316178e-4
1,u,104,HU,6.82171997119137e-4,0.25960389228441066,1.7709450565955775e-4
1,u,105,HU,3.538735060476545e-4,0.264292670047147,9.352617377227984e-5
1,u,106,HU,1.7830948891477382e-4,0.26593746363155973,4.741917322343467e-5
1,u,107,HU,8.668335402777869e-5,0.2643090527192395,2.291119518960866e-5
1,u,108,HU,3.994185297507558e-5,0.259297281412563,1.0356813891017387e-5
1,u,109,HU,1.664717005426676e-5,0.2509286847044793,4.1772524857689544e-6
